project_id,notice_type,notice_no,country,year_awarded,data_source,procurement_channel,funding_source,sector,project_type,contract_value_usd,contract_currency,contract_amount,contract_duration_original_unit,contract_duration_original,contract_duration_days,winning_firm_name,winning_firm_code,winning_firm_country,winning_firm_is_chinese,winning_firm_is_soe,number_of_bidders,if_single_bidder,bidder_country_lowest_price,bidder_lowest_price,bidder_country,bidder_price_currency,bidder_price,procurement_method,financing_linked_to_bid,financing_source_chinese,joint_venture,firm_registered_locally,record_id,awarded_date,bid_reference_no,project_name,contract_url
P077717,Contract Award,OP00026854,Mexico,2014,World Bank,MDB-financed,,Other Non-bank Financial Institutions; Central Government (Central Agencies); Renewable Energy Biomass; Renewable Energy Geothermal; Renewable Energy Solar; Renewable Energy Wind; (Historic)Other power and energy conversion; (Historic)Private infrastructure; (Historic)Other environment,,,USD,,,,,,,,,,,,,,,,,Quality And Cost-Based Selection,,,,,OP00026854,,SEPA-PERGE-6-SBCC-CF-B51,Large-scale Renewable Energy Development Project (Phase 1 = $25M; Phase 2 = $45M),https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00026854
P108654,Contract Award,OP00026806,Brazil,2014,World Bank,MDB-financed,,"Sanitation; Water Supply; Public Administration - Water, Sanitation and Waste Management; Irrigation and Drainage; Water Supply; Sewerage; Other Water Supply, Sanitation and Waste Management",,,USD,,,,,,,,,,,,,,,,,Quality And Cost-Based Selection,,,1.0,,OP00026806,,PSH PE UIP COMPESA 2,Brazil Pernambuco Sustainable Water,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00026806
P098838,Contract Award,OP00026783,Costa Rica,2014,World Bank,MDB-financed,,"Other Agriculture, Fishing and Forestry; Forestry; Other Water Supply, Sanitation and Waste Management; Social Protection; Forestry; Other Water Supply, Sanitation and Waste Management",,,USD,,,,,,,,,,,,,,,,,,,,,,OP00026783,,,GEF - Mainstreaming Market-Based Instruments for Environmental Management Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00026783
P089926,Contract Award,OP00026625,Argentina,2014,World Bank,MDB-financed,,Waste Management; Sub-National Government; Central Government (Central Agencies); Social Protection; Waste Management,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00026625,,LPI-O-10,National Urban Solid Waste Management Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00026625
P106684,Contract Award,OP00026295,Argentina,2014,World Bank,MDB-financed,,"Other Agriculture, Fishing and Forestry; Public Administration - Agriculture, Fishing & Forestry; Irrigation and Drainage; Agricultural markets, commercialization and agri-business; Rural and Inter-Urban Roads; Other Agriculture, Fishing and Forestry; Agro-industry; Agricultural markets, commercialization and agri-business",,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00026295,,BM-CDP-7597-017-O-01/11,AR PROSAP2 - Second Provincial Agricultural Development,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00026295
P125205,Contract Award,OP00025982,St. Lucia,2014,World Bank,MDB-financed,,"Rural and Inter-Urban Roads; Other Education; Health; Other Water Supply, Sanitation and Waste Management; Central Government (Central Agencies); Rural and Inter-Urban Roads; Other Education; Health; Other Water Supply, Sanitation and Waste Management; Central Government (Central Agencies)",,,USD,,Week,6.0,42.0,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00025982,,SLU HTERP /ICB G POC-01-13,Saint Lucia Hurricane Tomas Emergency Recovery Loan,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00025982
P118026,Contract Award,OP00025939,El Salvador,2014,World Bank,MDB-financed,,"Rural and Inter-Urban Roads; Sub-National Government; Other Water Supply, Sanitation and Waste Management; Other Energy and Extractives; Central Government (Central Agencies); Other Agriculture, Fishing and Forestry; Sub-National Government",,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00025939,,"LPI No.1/2013.  Lote 5, 8",Local Government Strengthening Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00025939
P121779,Contract Award,OP00025642,Nicaragua,2014,World Bank,MDB-financed,,Social Protection; Public Administration - Social Protection; Social Protection,,,USD,,,,,,,,,,,,,,,,,Quality And Cost-Based Selection,,,,,OP00025642,,01-2014,Nicaragua Social Protection,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00025642
P115183,Contract Award,OP00025619,Argentina,2014,World Bank,MDB-financed,,Social Protection; Public Administration - Social Protection; Social Protection,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00025619,,001/2013,Argentina Basic Protection Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00025619
P095863,Contract Award,OP00030459,Dominican Republic,2014,World Bank,MDB-financed,,"Sub-National Government; Other Agriculture, Fishing and Forestry",,,USD,,,,,,,,,,,,,,,,,,,,,,OP00030459,,,Dominican Republic Municipal Development Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00030459
P129633,Contract Award,OP00028118,Jamaica,2014,World Bank,MDB-financed,,Public Administration - Information and Communications Technologies; Public Administration - Information and Communications Technologies,,,USD,,Week,3.0,21.0,,,,,,,,,,,,,,,,,,OP00028118,,,Improving Climate Data and Information Management,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00028118
